Title,Composer,Difficulty,Reading,Max Position,Era,status,source,pdf_path,token_path,gp_path,scorehash,xml_path,file_path
Adagio from Pathetique Sonata,Ludwig van Beethoven,11,7,XII,Classical,found,gaps,,,,jc1wc,datasets/gaps_v1/readable_musicxml/Ludwig Van Beethoven - Opus 13 Sonata Pathetique.xml,
"Adagio, Aria, and Fugue; BWV 992: iii. Fugue",J.S. Bach,13,7,IX,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/bach-bwv992-iii-adagissimo.pdf,,,,,
Adelita (Mazurca),Francisco Tarrega,6,6,IX,Romantic,found,dada_gp,,"datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Adelita.gp3.tokens.txt","datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Adelita.gp3",,,
Adelita (Mazurka),Francisco Tarrega,6,7,IX,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Adelita (Mazurka) by Francisco Tarrega.pdf,,,,,
Adelita (Mazurka),Francisco Tarrega,6,5,IX,Romantic,found,gaps,,,,6Sswc,datasets/gaps_v1/readable_musicxml/Francisco Tarrega - Adelita (Mazurka).xml,gaps_v1/musicxml/Adelita (Mazurka) by Francisco Tarrega.xml
"Agitato, Op. 38 no. 7",Napoleon Coste,7,4,X,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 38 No 7 by Napoleon Coste.pdf,,,,,gaps_v1/musicxml/Opus 38 No 1 by Napoleon Coste.xml
"Agitato, Op. 51 no. 3",Mauro Giuliani,5,3,II,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 51 No 3 by Mauro Giuliani.pdf,,,,,
Air,John Dowland,6,3,IV,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Air In E by John Dowland.pdf,,,,,
Air,Anonymous,4,2,IV,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Air by Anonymous.pdf,,,,,
Air on a G String,J. S. Bach,9,6,V,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/BWV 1068 Air on G String by Johann Sebastian Bach.pdf,,,,,
"Aire de Zamba (from the ""Suite Andina"")",Agustin Barrios Mandore,10,7,XII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Suite Andina (Aire de Zamba) by Agustin Barrios Mangore.pdf,,,,,
Aire Sureno,Agustin Barrios Mandore,7,5,VII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/barrios-aire-sureno.pdf,,,,,
Aires Andaluces,Agustin Barrios Mandore,13,4,X,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/barrios-andaluces.pdf,,,,,
Aires Criollos,Agustin Barrios Mandore,15,8,X,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/barrios-aires-criollos.pdf,,,,,
Aires Mudejares,Agustin Barrios Mandore,12,5,VIII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/barrios-aires-mudejares.pdf,,,,,
"Alborada, Capriccio",Francisco Tarrega,11,6,X,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/tarrega-alborada.pdf,,,,,
"Allegretti, Op. 44 no. 2",Fernando Sor,1,1,I,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Estudio 2.gp3.tokens.txt","datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Estudio 2.gp3",,,
Allegretto,Ferdinando Carulli,3,3,II,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 331 Allegretto by Ferdinando Carulli.pdf,,,,,
Allegretto,Fernando Sor,4,3,V,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Allegretto in C by Fernando Sor.pdf,,,,,
Allegretto,Matteo Carcassi,3,2,II,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/C/Carcassi, Mateo/Carcassi, Mateo - Allegretto En Do Majeur.gp3.tokens.txt","datasets/DadaGP-v1.1/C/Carcassi, Mateo/Carcassi, Mateo - Allegretto En Do Majeur.gp3",,,
Allegretto (Pg. 74),Mauro Giuliani,1,1,I,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/G/Giuliani, Mauro/Giuliani, Mauro - Allegretto in C.gp3.tokens.txt","datasets/DadaGP-v1.1/G/Giuliani, Mauro/Giuliani, Mauro - Allegretto in C.gp3",,,
Allegretto (Pg. 75),Mauro Giuliani,1,1,III,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/G/Giuliani, Mauro/Giuliani, Mauro - Allegretto.gp3.tokens.txt","datasets/DadaGP-v1.1/G/Giuliani, Mauro/Giuliani, Mauro - Allegretto.gp3",,,
"Allegretto grazioso, Op. 51 no. 10",Mauro Giuliani,4,3,VIII,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 51 No 10 Andantino by Mauro Giuliani.pdf,,,,,
"Allegretto in D Major, Op. 47 no. 2",Fernando Sor,6,4,V,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Study In D Minor (poco Allegretto).gp4.tokens.txt","datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Study In D Minor (poco Allegretto).gp4",,,
"Allegretto in E Minor, Op. 47 no. 4",Fernando Sor,7,5,VII,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/sor-op47-4.pdf,,,,,
"Allegretto moderato, Op. 6 no. 11",Fernando Sor,7,3,V,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 6 No 11 in E minor by Fernando Sor.pdf,,,,,
"Allegretto, Op. 114 no. 9",Ferdinando Carulli,2,3,V,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 114 No 9 Prelude by Ferdinando Carulli.pdf,,,,,
"Allegretto, Op. 241 no. 14",Ferdinando Carulli,5,3,II,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 241 No 14 Andantino Grazioso by Ferdinando Carulli.pdf,,,,,gaps_v1/musicxml/Andantino in G Major by Ferdinando Carulli.xml
"Allegretto, Op. 35 no. 22",Fernando Sor,4,3,V,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 35 No 22 in B minor by Fernando Sor.pdf,,,,,gaps_v1/musicxml/Opus 35 No 17 in D by Fernando Sor.xml
"Allegretto, Op. 35 no. 8",Fernando Sor,4,2,IV,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/sor-op35-8.pdf,,,,,gaps_v1/musicxml/Opus 35 No 17 in D by Fernando Sor.xml
"Allegretto, Op. 38 no. 13",Napoleon Coste,7,3,VIII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 38 No 13 by Napoleon Coste.pdf,,,,,gaps_v1/musicxml/Opus 38 No 1 by Napoleon Coste.xml
"Allegretto, Op. 5 no. 12",Matteo Carcassi,4,2,IX,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/C/Carcassi, Mateo/Carcassi, Mateo - Allegretto Op5 No_12.gp3.tokens.txt","datasets/DadaGP-v1.1/C/Carcassi, Mateo/Carcassi, Mateo - Allegretto Op5 No_12.gp3",,,
"Allegretto, Op. 50 no. 22",Mauro Giuliani,3,2,II,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 50 No 22 by Mauro Giuliani.pdf,,,,,
"Allegretto, Op. 51 no. 15",Mauro Giuliani,5,2,II,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 51 No 15 by Mauro Giuliani.pdf,,,,,
"Allegretto, Op. 60 no. 7",Fernando Sor,3,3,I,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 60 No 7 by Fernando Sor.pdf,,,,,
"Allegretto, Op. 60 no. 8",Fernando Sor,1,1,I,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 60 No 8 by Fernando Sor.pdf,,,,,
Allegro,Domenico Scarlatti,8,4,VIII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Allegro in A by Domenico Scarlatti.pdf,,,,,
Allegro,W. A. Mozart,4,2,II,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Allegro in D by Wolfgang Amadeus Mozart.pdf,,,,,
Allegro,Mauro Giuliani,2,2,VII,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Allegro in A Minor by Mauro Giuliani.pdf,,,,,
Allegro,Mauro Giuliani,8,4,XII,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/G/Giuliani, Mauro/Giuliani, Mauro - Allegro.gp3.tokens.txt","datasets/DadaGP-v1.1/G/Giuliani, Mauro/Giuliani, Mauro - Allegro.gp3",,,
"Allegro in D Major, Op. 50 no. 26",Mauro Giuliani,6,3,VII,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 50 No 26 by Mauro Giuliani.pdf,,,,,
"Allegro Moderato, Op. 38 no. 23",Napoleon Coste,9,4,XII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 38 No 23 by Napoleon Coste.pdf,,,,,gaps_v1/musicxml/Opus 38 No 1 by Napoleon Coste.xml
Allegro Sinfonico,Agustin Barrios Mandore,14,7,All,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/barrios-sinfonico.pdf,,,,,
"Allegro, Op. 100 no. 11",Mauro Giuliani,6,3,V,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 11 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Allegro, Op. 40 no. 6",Mauro Giuliani,6,3,X,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Divertimento Opus 40 No 6 by Mauro Giuliani.pdf,,,,,
"Allegro, Op. 50 no. 13",Mauro Giuliani,1,1,I,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 50 No 13 by Mauro Giuliani.pdf,,,,,
"Allegro, Op. 60 no. 20",Matteo Carcassi,7,3,X,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 60 No 20 in A by Matteo Carcassi.pdf,,,,,gaps_v1/musicxml/Opus 60 No 7 in A Minor by Matteo Carcassi.xml
"Allemande, BWV 996",J.S. Bach,9,6,VII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/BWV 996 Allemande by Johann Sebastian Bach.pdf,,,,,
Alman,Robert Johnson,8,4,II,Renaissance,found,dada_gp,,"datasets/DadaGP-v1.1/J/Johnson, Robert/Johnson, Robert - Alman.gp3.tokens.txt","datasets/DadaGP-v1.1/J/Johnson, Robert/Johnson, Robert - Alman.gp3",,,
Alman,John Dowland,4,2,IV,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Lady Hunsdon Alman by John Dowland.pdf,,,,,
Altair,Agustin Barrios Mandore,10,5,IX,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/barrios-altair.pdf,,,,,
An Malvina,Johann Kaspar Mertz,8,4,X,Romantic,found,gaps,,,,NY1wc,datasets/gaps_v1/readable_musicxml/Johann Kaspar Mertz - An Malvina.xml,
Andante,Fernando Sor,2,2,III,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Andante in C by Fernando Sor.pdf,,,,,
Andante,Ferdinando Carulli,3,2,II,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Andante in A Minor by Ferdinando Carulli.pdf,,,,,
Andante,Dionisio Aguado,1,1,II,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/A/Aguado, Dionso/Aguado, Dionso - Andante.gp3.tokens.txt","datasets/DadaGP-v1.1/A/Aguado, Dionso/Aguado, Dionso - Andante.gp3",,,
Andante,Ferdinando Carulli,2,2,II,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/C/Carulli, Ferdinando/Carulli, Ferdinando - Andante.gp3.tokens.txt","datasets/DadaGP-v1.1/C/Carulli, Ferdinando/Carulli, Ferdinando - Andante.gp3",,,
"Andante Allegro, Op. 6 no. 2",Fernando Sor,4,3,V,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 6 No 2 by Fernando Sor.pdf,,,,,
Andante in A Minor,Fernando Sor,2,2,I,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Andante.gp4.tokens.txt","datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Andante.gp4",,,
"Andante Largo, Op. 5 no. 5",Fernando Sor,10,6,VII,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 5 No 5 by Fernando Sor.pdf,,,,,
"Andante, Op. 241 no. 17",Ferdinando Carulli,3,2,III,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/carulli-op241-17.pdf,,,,,gaps_v1/musicxml/Andantino in G Major by Ferdinando Carulli.xml
"Andante, Op. 241 no. 5",Ferdinando Carulli,1,1,II,Classical,found,gaps,,,,cV1wc,datasets/gaps_v1/readable_musicxml/Ferdinando Carulli - Opus 241 No. 5.xml,gaps_v1/musicxml/Andantino in G Major by Ferdinando Carulli.xml
"Andante, Op. 35 no. 1",Fernando Sor,1,1,I,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 35 No1 (Andante in C) by Fernando Sor.pdf,,,,,gaps_v1/musicxml/Opus 35 No 17 in D by Fernando Sor.xml
"Andante, Op. 35 no. 13",Fernando Sor,3,2,III,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 35 No 13 in C by Fernando Sor.pdf,,,,,gaps_v1/musicxml/Opus 35 No 17 in D by Fernando Sor.xml
"Andante, Op. 44 no. 1",Fernando Sor,1,1,I,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Estudio 1.gp3.tokens.txt","datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Estudio 1.gp3",,,
"Andante, Op. 44 no. 15",Fernando Sor,4,3,V,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 44 No 15 in D Major by Fernando Sor.pdf,,,,,
"Andante, Op. 45 no. 5",Fernando Sor,9,5,V,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 45 No 5 Petite Piece in A by Fernando Sor.pdf,,,,,gaps_v1/musicxml/sor-op45-5.xml
Andantino,Fernando Sor,3,2,II,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Andantino (op.60).gp3.tokens.txt","datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Andantino (op.60).gp3",,,
Andantino,Dionisio Aguado,4,4,III,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Andantino in A Minor by Dionisio Aguado.pdf,,,,,
Andantino,Fernando Sor,2,2,V,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - andantino.gp3.tokens.txt","datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - andantino.gp3",,,
Andantino,Matteo Carcassi,4,2,IX,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Andantino in C by Matteo Carcassi.pdf,,,,,
Andantino,Mauro Giuliani,3,1,I,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 30 No 1 Andantino by Mauro Giuliani.pdf,,,,,
Andantino from Op. 59,Matteo Carcassi,1,1,I,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/C/Carcassi, Mateo/Carcassi, Mateo - Andantino (2).gp3.tokens.txt","datasets/DadaGP-v1.1/C/Carcassi, Mateo/Carcassi, Mateo - Andantino (2).gp3",,,
"Andantino Grazioso, Op. 5 no. 8",Matteo Carcassi,4,3,V,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/C/Carcassi, Mateo/Carcassi, Mateo - Andante Grazioso Opus 5 No. 8.gp3.tokens.txt","datasets/DadaGP-v1.1/C/Carcassi, Mateo/Carcassi, Mateo - Andante Grazioso Opus 5 No. 8.gp3",,,
"Andantino Grazioso, Op. 5 no. 8",Matteo Carcassi,4,3,V,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/C/Carcassi, Mateo/Carcassi, Mateo - Andantino In C Major.gp4.tokens.txt","datasets/DadaGP-v1.1/C/Carcassi, Mateo/Carcassi, Mateo - Andantino In C Major.gp4",,,
Andantino in C; Op. 35 no. 2,Fernando Sor,1,1,I,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 35 No 2 by Fernando Sor.pdf,,,,,gaps_v1/musicxml/Opus 35 No 17 in D by Fernando Sor.xml
"Andantino, op. 241 no. 19",Ferdinando Carulli,3,1,I,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Andantino in A Minor by Ferdinando Carulli.pdf,,,,,gaps_v1/musicxml/Andantino in G Major by Ferdinando Carulli.xml
"Andantino, Op. 241 no. 20",Ferdinando Carulli,1,2,III,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Andantino in G Major by Ferdinando Carulli.pdf,,,,,gaps_v1/musicxml/Andantino in G Major by Ferdinando Carulli.xml
"Andantino, Op. 39 no. 2",Anton Diabelli,2,1,I,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 39 No 2 by Anton Diabelli.pdf,,,,,
"Andantino, Op. 44 no. 3",Fernando Sor,4,2,II,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Op 44 No 3 (Waltz of the Robins) by Fernando Sor.pdf,,,,,
"Andantino, Op. 44 no. 5",Fernando Sor,2,2,I,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Estudio No. V.gp3.tokens.txt","datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Estudio No. V.gp3",,,
"Andantino, Op. 44 no. 9",Fernando Sor,3,2,II,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/sor-op44-9.pdf,,,,,
"Andantino, Op. 6 no. 8",Fernando Sor,6,2,V,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 6 No 8 by Fernando Sor.pdf,,,,,
"Andantino, Op. 60 no. 21",Matteo Carcassi,7,4,VII,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 60 No 21 in A by Matteo Carcassi.pdf,,,,,gaps_v1/musicxml/Opus 60 No 7 in A Minor by Matteo Carcassi.xml
"Andantino, Op. 60 no. 8",Matteo Carcassi,4,2,III,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 60 No 8 in E by Matteo Carcassi.pdf,,,,,gaps_v1/musicxml/Opus 60 No 7 in A Minor by Matteo Carcassi.xml
"Anglaise, Op. 121 no. 6",Ferdinando Carulli,1,1,I,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 121 No 6 Anglaise by Ferdinando Carulli.pdf,,,,,
Angostura (Valse Venezolano),Antonio Lauro,10,5,XII,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Angostura by Antonio Lauro.pdf,,,,,
Arabescos (Estudio No. 4),Agustin Barrios Mandore,11,6,X,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Arabescos (Estudio No 4) by Agustin Barrios Mangore.pdf,,,,,
Aria,J.S. Bach,5,2,V,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/bach-bwv992-v-aria.pdf,,,,,
Armonias de America,Agustin Barrios Mangore,12,8,XII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Armonias De America by Agustin Barrios Mangore.pdf,,,,,
Armonias de America,Agustin Barrios Mandore,11,7,X,Romantic,found,dada_gp,,"datasets/DadaGP-v1.1/B/Barrios, Agustin/Barrios, Agustin - Armonias De America.gp4.tokens.txt","datasets/DadaGP-v1.1/B/Barrios, Agustin/Barrios, Agustin - Armonias De America.gp4",,,
Arpeggio Study no. 1,Reginald Smith Brindle,1,1,I,Modern,found,dada_gp,,"datasets/DadaGP-v1.1/S/Smith, Elliott/Smith, Elliott - I Didn't Understand.gp4.tokens.txt","datasets/DadaGP-v1.1/S/Smith, Elliott/Smith, Elliott - I Didn't Understand.gp4",,,
Asturias (Leyenda) (Theme),Isaac Albeniz,8,4,VII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Asturias-Leyenda by Isaac Albeniz.pdf,,,,,
"Ay, Ay, Ay!...",Agustin Barrios Mangore,9,7,All,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Ay Ay Ay by Agustin Barrios Mangore.pdf,,,,,
Bagatelle,Ludwig van Beethoven,5,3,IV,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Bagatelle 1 by Ludwig Van Beethoven.pdf,,,,,
Ballet,Elias Mertel,6,3,VII,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Ballet by Elias Mertel.pdf,,,,,
Balleto,Jean-Baptiste Besard,6,3,III,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Balleto by Jean Baptiste Besard.pdf,,,,,
Batalla (Battle),Gaspar Sanz,3,2,II,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Batalla by Gaspar Sanz.pdf,,,,,
Be Thou With Me (Bist du bei  mir),J.S. Bach,13,6,VII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/BWV508 Be Thou with me by Johann Sebastian Bach.pdf,,,,,
Berceuse et Trio,Napoleon Coste,8,5,IX,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/coste-berceuse.pdf,,,,,
Bianco fiore,Cesare Negri,3,2,V,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Il Bianco Fiore by Cesare Negri.pdf,,,,,
"Bouree (from Partita #3 for Violin, BWV 1006)",J.S. Bach,7,3,VII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/BWV1006a Menuett by Johann Sebastian Bach.pdf,,,,,
Bourree (from Lute Suite No. 1); BWV 996,J.S. Bach,6,3,V,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/BWV996 Bourree in E Minor by Johann Sebastian Bach.pdf,,,,,
Bourree (pg. 15),J.S. Bach,7,3,VII,Baroque,found,dada_gp,,"datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Bourre.gp4.tokens.txt","datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Bourre.gp4",,,
"Bourree, BWV 996",J.S. Bach,7,4,V,Baroque,found,gaps,,,,2D1wc,datasets/gaps_v1/readable_musicxml/Johann Sebastian Bach - BWV996 Bourree in E Minor.xml,
Branle,Jean-Baptiste Besard,5,3,III,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Branle by Jean Babtiste Besard.pdf,,,,,
Branle Gay,Jean Baptiste Besard,1,1,I,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Branle Gay by Jean Baptiste Besard.pdf,,,,,
Caazapa-Aire Popular Paraguayo,Agustin Barrios Mangore,11,9,XII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Caazapa by Barrios.pdf,,,,,gaps_v1/musicxml/Caazapa by Barrios.xml
Cadence Pour le 15 du 2e mouvement du Quatuor (Concerto) en Re majeur de J. Haydn,Leo Brouwer,15,4,X,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Estudios Sencillos (Study No 15) by Leo Brouwer.pdf,,,,,
Cadence Pour le 1st Mouvement du Concerto op. 30 de Mauro Giuliani,Leo Brouwer,15,7,X,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Estudios Sencillos (Study No 1) by Leo Brouwer.pdf,,,,,
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 1. Cadenze",Mauro Giuliani,1,1,I,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 1 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 10. Capricie",Mauro Giuliani,3,1,II,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 10 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 11. Capricie",Mauro Giuliani,6,3,V,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/giuliani-opus100-no11.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
"Cadenzas, Caprices, Rondos & Preludes, Op. 100: 12. Capricie",Mauro Giuliani,7,5,VII,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 100 No 12 by Mauro Giuliani.pdf,,,,,gaps_v1/musicxml/giuliani-opus100-no11.xml
