Title,Composer,Difficulty,Reading,Max Position,Era,status,source,pdf_path,token_path,gp_path,scorehash,xml_path,file_path,ly_path
Sonata no. 27: Minuet,Niccolo Paganini,4,3,V,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Sonata No_ 27 In A by Nicolo Paganini.pdf,,,,,,
Sonata no. 26: Minuet,Niccolo Paganini,3,3,IV,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Sonata No_ 26 In A by Nicolo Paganini.pdf,,,,,,
Sonata: Courante,Silvius Leopold Weiss,8,4,VII,Baroque,found,dada_gp,,"/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/W/Weiss, Silvius Leopold/Weiss, Silvius Leopold - Courante.gp3.tokens.txt","/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/W/Weiss, Silvius Leopold/Weiss, Silvius Leopold - Courante.gp3",,,,
Estudios Sencillos: I,Leo Brouwer,4,2,III,Modern,found,dada_gp,,"datasets/DadaGP-v1.1/B/Brouwer, Leo/Brower, Leo - Estudios sencillos I.gp3.tokens.txt","datasets/DadaGP-v1.1/B/Brouwer, Leo/Brower, Leo - Estudios sencillos I.gp3",Ly1wc,datasets/gaps_v1/musicxml/Ly1wc.xml,,
Study No. 6,Matteo Carcassi,2,2,V,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 10 No 6 by Matteo Carcassi.pdf,,,,,,
Study No. 6,Fernando Sor,4,3,II,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 57 No 6 by Fernando Sor.pdf,,,,,,
Study No. 5,Fernando Sor,4,3,V,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 43 No 5 Bagatelle in D Minor by Fernando Sor.pdf,,,,,,
Study No. 3,Fernando Sor,4,3,V,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 60 No 3 by Fernando Sor.pdf,,,,,,
Study No. 23,Matteo Carcassi,7,3,X,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 59 No 23 by Matteo Carcassi.pdf,,,,,,
Study No. 2,Fernando Sor,3,2,III,Classical,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/Opus 42 No 2 by Fernando Sor.pdf,"/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Op. 60 - No 2 (study In C Major).gp4.tokens.txt","/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Op. 60 - No 2 (study In C Major).gp4",,,,
Study No. 16,Matteo Carcassi,3,2,VIII,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 60 No 16 D Minor by Matteo Carcassi.pdf,,,,,,
Study No. 1,Fernando Sor,6,2,V,Classical,found,dada_gp,,"S/Sor, Fernando/Sor, Fernando - Op. 31 - No 1 (Study In C Major).gp4.tokens.txt",,,,,
Study in E minor; Op. 48,Mauro Giuliani,3,3,XII,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/G/Giuliani, Mauro/Giuliani, Mauro - Opus 48 A5.gp4.tokens.txt","datasets/DadaGP-v1.1/G/Giuliani, Mauro/Giuliani, Mauro - Opus 48 A5.gp4",,,,
"Study in E minor, Op. 48 no. 5",Mauro Giuliani,3,3,XII,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/G/Giuliani, Mauro/Giuliani, Mauro - Maestoso, Opus 48.gp3.tokens.txt","datasets/DadaGP-v1.1/G/Giuliani, Mauro/Giuliani, Mauro - Maestoso, Opus 48.gp3",,,,
"Study in B Minor, Op. 31 No. 18",Fernando Sor,6,3,VII,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 31 No 18 by Fernando Sor.pdf,,,,,,
Estilo Uruguayo,Agustin Barrios Mangore,7,6,X,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Estilo Uruguayo by Agustin Barrios Mangore.pdf,,,,,,
Estudio del Ligado,Agustin Barrios Mangore,7,5,V,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Estudio del Ligado by Agustin Barrios Mangore.pdf,,,,,,
Estudio en Arpegio,Agustin Barrios Mangore,7,3,VIII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Estudio en Arpegio by Agustin Barrios Mangore.pdf,,,,,,
Estudio en Sol Menor,Agustin Barrios Mangore,7,6,X,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Estudio En Sol Menor by Agustin Barrios Mangore.pdf,,,,,,
Estudio Inconcluso,Agustin Barrios Mangore,7,3,X,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Estudio Inconcluso by Augustin Barrios Mangore.pdf,,,,,,
Forlorne Hope,John Dowland,18,10,IV,Renaissance,found,dada_gp,,"D/Dowland, John/Dowland, John - Forlorn Hope Fancy.gp3.tokens.txt",,,,,
Study No. 7,Matteo Carcassi,5,3,IV,Classical,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/Opus 11 No 7 by Matteo Carcassi.pdf,"/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/C/Carcassi, Mateo/Carcassi, Mateo - Etude opus 60 n-7.gp3.tokens.txt","/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/C/Carcassi, Mateo/Carcassi, Mateo - Etude opus 60 n-7.gp3",,,,
Sonata no. 12: i. Minuetto,Niccolo Paganini,7,3,VII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Sonata No_ 12 In A by Nicolo Paganini.pdf,,,,,,
Four Easy Studies: No. 1 in C,Dionisio Aguado,3,1,III,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Etude No 1 Metodo Primera by Dionisio Aguado.pdf,,,,,,
"Sonata III, BWV 1005: i. Adagio",Johann Sebastian Bach,9,5,V,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/BWV 1005 Adagio by Johann Sebastian Bach.pdf,,,,,,
Sonata II: BWV 1003: iii. Andante,Johann Sebastian Bach,9,6,VII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/BWV 1003 Andante by Johann Sebastian Bach.pdf,,,,,,
German Dance,Ludwig van Beethoven,6,2,II,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/German Dance by Ludwig Van Beethoven.pdf,,,,,,
Gigue,Ludovico Roncalli,7,3,VII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Gigue by Lodovico Roncalli.pdf,,,,,,
"Sonata I, BWV 1001: iii. Siciliana",Johann Sebastian Bach,12,6,VII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/BWV 1001 Siciliana by Johann Sebastian Bach.pdf,,,,,,
"Sonata I, BWV 1001: i. Adagio",Johann Sebastian Bach,13,8,V,Baroque,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/BWV 1001 Adagio by Johann Sebastian Bach.pdf,"/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Violin Sonata No 1 In Gm  Fugue Bwv 1001.gp4.tokens.txt","/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Violin Sonata No 1 In Gm  Fugue Bwv 1001.gp4",,,,
Gnossienne No. 1 (from Trois Snossiennes),Erik Satie,6,4,II,Modern,found,dada_gp,,"datasets/DadaGP-v1.1/S/Satie, Erik/Satie, Erik - Gnossienne No. 1.gp4.tokens.txt","datasets/DadaGP-v1.1/S/Satie, Erik/Satie, Erik - Gnossienne No. 1.gp4",,,,
Gnossienne No. 2,Erik Satie,7,4,IX,Modern,found,dada_gp,,"datasets/DadaGP-v1.1/S/Satie, Erik/Satie, Erik - Gnossienne No. 2.gp4.tokens.txt","datasets/DadaGP-v1.1/S/Satie, Erik/Satie, Erik - Gnossienne No. 2.gp4",,,,
Go From My Window,Anonymous,9,4,IV,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Go From My Window by Anonymous.pdf,,,,,,
"Gran Sonata Eroica, Op. 150",Mauro Giuliani,15,6,All,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Grand Sonata Opus 150 by Mauro Giuliani.pdf,,,,,,
Granada,Isaac Albeniz,14,8,X,Romantic,found,dada_gp,,"datasets/DadaGP-v1.1/A/Albeniz, Isaac/Albeniz, Isaac - Granada.gp4.tokens.txt","datasets/DadaGP-v1.1/A/Albeniz, Isaac/Albeniz, Isaac - Granada.gp4",,,,
Granada (Serenata) from Suite Espanola,Isaac Albeniz,13,8,XII,Romantic,found,dada_gp,,"/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/A/Albeniz, Isaac/Albeniz, Isaac - Granada.gp4.tokens.txt","/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/A/Albeniz, Isaac/Albeniz, Isaac - Granada.gp4",,,,
"Grand Ouverture, Op. 61",Mauro Giuliani,13,5,XII,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 61 Grand Overture by Mauro Giuliani.pdf,,,,,,
"Sonata I, BWV 1001: ii.  Fuga",Johann Sebastian Bach,14,6,X,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/BWV 1001 Fugue by Johann Sebastian Bach.pdf,,,,,,
"Gavotte En Rondeau, BWV 995",Johann Sebastian Bach,9,5,VII,Baroque,found,dada_gp,,"datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Gavotte En Rondeau (From BWV 995).gp4.tokens.txt","datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Gavotte En Rondeau (From BWV 995).gp4",,,,
"Gavotte en Rondeau from Lute Suite IV and Violin Partita III, BWV 1006",Johann Sebastian Bach,13,8,IX,Baroque,found,dada_gp,,"datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Gavotte en Rondeau (from lute suite 4) BWV 1006a.gp3.tokens.txt","datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Gavotte en Rondeau (from lute suite 4) BWV 1006a.gp3",,,,
Four Easy Studies: No. 3 in A,Dionisio Aguado,2,1,I,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Etude No 3 Metodo Primera by Dionisio Aguado.pdf,,,,,,
Four Easy Studies: No. 4 in E,Dionisio Aguado,2,2,IV,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Etude No 4 Metodo Primera by Dionisio Aguado.pdf,,,,,,
"Fuge in A Minor, BWV 1000",Johann Sebastian Bach,17,7,XII,Baroque,found,dada_gp,,"datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Fugue (G-Moll) BWV 1000.gp4.tokens.txt","datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Fugue (G-Moll) BWV 1000.gp4",,,,
Sonata L. 483,Domenico Scarlatti,9,5,VIII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Sonata L483 by Domenico Scarlatti.pdf,,,,,,
Sonata in G (K. 431),Domenico Scarlatti,8,4,VII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/sonata-k431-l83-scarlatti.pdf,,,,,,
"Sonata in E minor, BWV 1023 - iii.  Gigue",Johann Sebastian Bach,12,7,VII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/bach-bwv1023-gigue.pdf,,,,,,
"Fugue, BWV 1000",Johann Sebastian Bach,15,6,XII,Baroque,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/Bwv 1000 Fugue In A Minor by Johann Sebastian Bach.pdf,"/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Fugue (G-Moll) BWV 1000.gp4.tokens.txt","/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Fugue (G-Moll) BWV 1000.gp4",,,,
"Sonata in E minor, BWV 1023 - ii. Allemande",Johann Sebastian Bach,12,8,VII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/bach-bwv1023-allemande.pdf,,,,,,
Fur Elise,Ludwig van Beethoven,11,6,IX,Classical,found,dada_gp,,datasets/DadaGP-v1.1/B/Beethoven/Beethoven - Fur Elise full version.gp3.tokens.txt,datasets/DadaGP-v1.1/B/Beethoven/Beethoven - Fur Elise full version.gp3,,,,
Galliard,John Dowland,13,5,V,Renaissance,found,dada_gp,,"datasets/DadaGP-v1.1/D/Dowland, John/Dowland, John - Queen Elizabeth's Galliard.gp4.tokens.txt","datasets/DadaGP-v1.1/D/Dowland, John/Dowland, John - Queen Elizabeth's Galliard.gp4",,,,
"Sonata in A Major, L 483/ K 322",Domenico Scarlatti,10,5,IX,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Sonata K322 by Domenico Scarlatti.pdf,,,,,,
"Sonata in A Major, L 238/ K 208",Domenico Scarlatti,6,3,V,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Sonata L238 by Domenico Scarlatti.pdf,,,,,,
Sonata in A (K. 428),Domenico Scarlatti,9,6,IX,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/sonata-k209-l428-scarlatti.pdf,,,,,,
Gavota al Estilo Antiguo,Agustin Barrios Mangore,6,5,X,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Gavota al Estilo Antiguo by Agustin Barrios Mangore.pdf,,,,,,
Gavotte,Ludovico Roncalli,7,4,VIII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Gavotte by Lodovico Roncalli.pdf,,,,,,
Sonata No. 1,Niccolo Paganini,7,4,VIII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Ghiribizzi No 1 by Niccolo Paganini.pdf,,,,,,
Espanoleta,Gaspar Sanz,1,1,I,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Espanoleta by Gaspar Sanz.pdf,,,,,,
"Study, 31 no. 17",Fernando Sor,3,1,I,Classical,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 60 No 17 by Fernando Sor.pdf,,,,,,
"Suite 5 for Cello, BWV 1011: v(b). Gavotte II (en Rondeau)",Johann Sebastian Bach,7,4,V,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/bach-bwv1011-v-gavotte.pdf,,,,,,
Dedicatoria,Enrique Granados,7,6,IX,Romantic,found,dada_gp,,"datasets/DadaGP-v1.1/G/Granados, Enrique/Granados, Enrique - Dedicatoria.gp4.tokens.txt","datasets/DadaGP-v1.1/G/Granados, Enrique/Granados, Enrique - Dedicatoria.gp4",841wc,datasets/gaps_v1/musicxml/841wc.xml,,
Dedicatoria from 'Cuentos de la Juventud',Enrique Granados,7,6,X,Romantic,found,dada_gp,,"/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/G/Granados, Enrique/Granados, Enrique - Dedicatoria.gp4.tokens.txt","/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/G/Granados, Enrique/Granados, Enrique - Dedicatoria.gp4",841wc,datasets/gaps_v1/musicxml/841wc.xml,,
"Suite 5 for Cello, BWV 1011: iv.  Sarabande",Johann Sebastian Bach,5,4,V,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/bach-bwv1011-iv-sarabande.pdf,,,,,,
"Suite 5 for Cello, BWV 1011: iii. Courante",Johann Sebastian Bach,8,6,VII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/bach-bwv1011-iii-courante.pdf,,,,,,
"Suite 5 for Cello, BWV 1011: ii.  Allemande",Johann Sebastian Bach,6,7,VII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/bach-bwv1011-ii-allemande.pdf,,,,,,
Danza Mora,Francisco Tarrega,9,5,XI,Romantic,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/Danza Mora by Francisco Tarrega.pdf,"datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Danza Mora.gp3.tokens.txt","datasets/DadaGP-v1.1/T/Tarrega, Francisco/Tarrega, Francisco - Danza Mora.gp3",,,,
"Diferencias Sobre ""Guardame Las Vacas""",Luys de Narvaez,8,5,V,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Diferencias Sobre Guardame Las Vacas by Luis de Narvaez.pdf,,,,,,
Don Perez Freire (Tango),Agustin Barrios Mangore,8,7,All,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Don Perez Freire Tango by Agustin Barrios Mangore.pdf,,,,,,
"Suite 4 for Cello, BWV 1010: i. Prelude",Johann Sebastian Bach,9,6,V,Baroque,found,dada_gp,,"datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Prelude In E From 4th Lute Suite.gp4.tokens.txt","datasets/DadaGP-v1.1/B/Bach, Johann Sebastian/Bach, Johann Sebastian - Prelude In E From 4th Lute Suite.gp4",,,,
Dinora,Agustin Barrios Mangore,7,7,XII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Dinora by Agustin Barrios Mangore.pdf,,,,,,
Danza Espanola No. 5 (Andaluza),Enrique Granados,11,7,X,Romantic,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/Spanish Dance No 5 by Enrique Granados.pdf,"datasets/DadaGP-v1.1/G/Granados, Enrique/Granados, Enrique - Spanish Dance No 5 (Andalusa).gp4.tokens.txt","datasets/DadaGP-v1.1/G/Granados, Enrique/Granados, Enrique - Spanish Dance No 5 (Andalusa).gp4",,,,
Danza Espanola No. 4 (Villanesca),Enrique Granados,18,9,All,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Danza Espaola No 4 Villanesca by Enrique Granados.pdf,,,,,,
Danza Espanola No. 3 (Fandango),Enrique Granados,8,5,XII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Danza Espanola No 3 Zarabanda by Enrique Granados.pdf,,,,,,
Clair de Lune,Claude Debussy,14,7,All,Modern,found,dada_gp,,"datasets/DadaGP-v1.1/D/Debussy, Claude/Debussy, Claude - Clair de Lune.gp4.tokens.txt","datasets/DadaGP-v1.1/D/Debussy, Claude/Debussy, Claude - Clair de Lune.gp4",,,,
Come Again,John Dowland,9,4,V,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/Come Again by John Dowland.pdf,,,,,,
Suite en La Mayor: Villanos,Gaspar Sanz,6,3,IX,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Suite En La Mayor (Passo) by Gaspar Sanz.pdf,,,,,,
Courante,Silvius Leopold Weiss,6,3,III,Baroque,found,dada_gp,,"datasets/DadaGP-v1.1/W/Weiss, Silvius Leopold/Weiss, Silvius Leopold - Courante.gp3.tokens.txt","datasets/DadaGP-v1.1/W/Weiss, Silvius Leopold/Weiss, Silvius Leopold - Courante.gp3",,,,
Suite en La Mayor: Passacalles,Gaspar Sanz,9,4,IX,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Suite En La Mayor (Passacalles) by Gaspar Sanz.pdf,,,,,,
Suite en La Mayor: Matachin,Gaspar Sanz,6,3,IX,Baroque,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/Suite En La Mayor (Matachin) by Gaspar Sanz.pdf,"/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/S/Sanz, Gaspar/Sanz, Gaspar - MATACHIN.gp3.tokens.txt","/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/S/Sanz, Gaspar/Sanz, Gaspar - MATACHIN.gp3",,,,
Suite en La Mayor: Granduque I,Gaspar Sanz,6,3,II,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Suite En La Mayor (Granduque 2) by Gaspar Sanz.pdf,,,,,,
Suite en La Mayor: Chacona,Gaspar Sanz,8,4,IV,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/Suite En La Mayor (Chacona) by Gaspar Sanz.pdf,,,,,,
"Suite 6 for Cello, BWV 1012: vi.  Gigue",Johann Sebastian Bach,10,6,X,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/bach-bwv1012-gigue.pdf,,,,,,
Dance of the Miller from The Three-Cornered Hat,Manuel de Falla,8,4,VIII,Modern,found,dada_gp,,/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/M/Manuel De Falla/Manuel De Falla - Dance Of The Miller.gp4.tokens.txt,/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/M/Manuel De Falla/Manuel De Falla - Dance Of The Miller.gp4,,,,
"Suite 6 for Cello, BWV 1012: v.  Gavotte I and II",Johann Sebastian Bach,7,5,V,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/BWV1012 Gavotte 1 by Johann Sebastian Bach.pdf,,,,,,
"Suite 5 for Cello, BWV 1011: vi. Gigue",Johann Sebastian Bach,8,6,VII,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/bach-bwv1011-vii-gigue.pdf,,,,,,
Dos Temas Populares Cubanos - Berceuse - Cancion de Cuna,Leo Brouwer,9,7,V,Modern,found,dada_gp,,"/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/B/Brouwer, Leo/Brower, Leo - Berceuse Cancion De Cuna.gp4.tokens.txt","/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/B/Brouwer, Leo/Brower, Leo - Berceuse Cancion De Cuna.gp4",rf1wc,datasets/gaps_v1/musicxml/rf1wc.xml,gaps_v1/musicxml/brouwer-berceuse.xml,
Einleitende Etuden (Introductory Studies); Op. 60 no. 16,Fernando Sor,6,3,VII,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Study No. 16.gp4.tokens.txt","datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Study No. 16.gp4",,,,
Einleitende Etuden (Introductory Studies); Op. 60 no. 18,Fernando Sor,4,3,II,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Estudio No. 18.gp4.tokens.txt","datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Estudio No. 18.gp4",,,,
Einleitende Etuden (Introductory Studies); Op. 60 no. 19,Fernando Sor,3,2,III,Classical,found,dada_gp,,"datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Study No. 19.gp4.tokens.txt","datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Study No. 19.gp4",,,,
Einleitende Etuden (Introductory Studies); Op. 60 no. 3,Fernando Sor,1,1,II,Classical,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/Opus 18 No 3 by Fernando Sor.pdf,"/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Estudio No. 3.gp4.tokens.txt","/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Estudio No. 3.gp4",,,,
Einleitende Etuden (Introductory Studies); Op. 60 no. 5,Fernando Sor,2,2,II,Classical,found,dada_gp,pdf-20260524T103936Z-3-001/pdf/Opus 11 No 5 Minuet in D Major by Fernando Sor.pdf,"/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Op. 60 - No 5 (study In A Minor).gp4.tokens.txt","/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/S/Sor, Fernando/Sor, Fernando - Op. 60 - No 5 (study In A Minor).gp4",,,,
El abejorro,Emilio Pujol,9,6,XII,Modern,found,dada_gp,,"datasets/DadaGP-v1.1/P/Pujol, Emilio/Pujol, Emilio - El Abejorro.gp5.tokens.txt","datasets/DadaGP-v1.1/P/Pujol, Emilio/Pujol, Emilio - El Abejorro.gp5",,,,
El Decameron Negro: I. La Arpa Del Guerrero,Leo Brouwer,12,7,IX,Modern,found,dada_gp,,"/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/B/Brouwer, Leo/Brower, Leo - El Decameron Negro.gp4.tokens.txt","/home/aser/programming/thesis/rubricnet/datasets/DadaGP-v1.1/B/Brouwer, Leo/Brower, Leo - El Decameron Negro.gp4",,,,
