Composer,Title,Difficulty
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 18",11
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 19",14
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 2",15
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 20",16
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 21",17
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 22",13
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 23",14
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 24",18
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 25",18
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 26",17
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 27",12
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 28",19
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 29",17
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 3",17
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 30",17
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 4",8
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 5",16
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 6",14
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 7",11
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 8",17
J.S. Bach,"Goldberg Variations, BWV 988: Variatio 9",18
Fernando Sor,"Grand Solo, Op. 14",15
Fernando Sor,"Grand Solo, Op. 14",16
Fernando Sor,"Grand Sonata, Op. 22: iii. Minuet and Trio",7
Fernando Sor,"Grand Sonata, Op. 25: iv. Minuet and Trio",7
Niccolo Paganini,Grand Sonata: 1. Allegro Risoluto,20
Niccolo Paganini,Grand Sonata: 2. Allegro Risoluto: 2. Romanze,12
Niccolo Paganini,Grand Sonata: 3. Andantino variato,16
J.S. Bach,"In Dulci Jubilo, BWV 751",12
J.S. Bach,"Jesu, Joy of Man's Desiring",3
J. S. Bach,"Jesu, Joy of Man's Desiring",9
J.S. Bach,"Jesu, Joy of Man's Desiring (from Cantata No. 147, ""Herz und Mund und Tat und Leben"")",6
Carl Philipp Emanuel Bach,"La Caroline, Helm No. 98",8
C.P.E. Bach,March (from the Notebook of Anna Magdalena Bach),7
Fernando Sor,"Marche funebre, Op. 59",9
Fernando Sor,Meditacion,9
J.S. Bach,"Menuet 1 (from Partita #3 for Violin, BWV 1006)",6
J.S. Bach,"Menuet 1 (from Suite #1 for Violoncello, BWV 1007)",4
J.S. Bach,"Menuet 2 (from Partita #3 for Violin, BWV 1006)",4
J.S. Bach,"Menuet 2 (from Suite #1 for Violoncello, BWV 1007)",6
J.S. Bach,"Menuet, BWV 1006",6
Fernando Sor,"Menuet, Op. 11 no. 1",7
Fernando Sor,"Menuet, Op. 11 no. 5",8
Fernando Sor,"Menuet, Op. 11 no. 5",9
Fernando Sor,"Menuet, Op. 22",7
J.S. Bach,Minuet (Pg. 10),6
J.S. Bach,Minuet (Pg. 4),4
J.S. Bach,Minuet (Pg. 8),5
J.S. Bach,Minuet (Pg. 9),4
Fernando Sor,"Minuet from The Grand Sonata, Op. 22",7
J.S. Bach,"Minuet I, BWV 1007",8
J.S. Bach,Minuet No. 2 (from Cello Suite No. 2); BWV 1008,5
Fernando Sor,"Minuet, Op. 22",7
Fernando Sor,"Minuetto, Op. 25",7
Fernando Sor,Minuetto; Op. 32 no. 1,7
Ferdinando Sor,"Moderato, Op. 31 no. 1",1
Fernando Sor,"Moderato, Op. 35 no. 16",7
Fernando Sor,"Moderato, Op. 35 no. 17",5
Fernando Sor,"Moderato, Op. 35 no. 2",1
J.S. Bach,Musette (Pg. 11),6
J.S. Bach,Musette (Pg. 7),2
J.S. Bach,Partita I: BWV 1002: i. Allemanda,15
J.S. Bach,Partita I: BWV 1002: ii. Double (Allemande),13
J.S. Bach,Partita I: BWV 1002: iii. Courrente,11
J.S. Bach,Partita I: BWV 1002: iv. Double (Corrente),13
J.S. Bach,Partita I: BWV 1002: v.  Sarabanda,8
J.S. Bach,Partita I: BWV 1002: vi. Double (Sarabande),8
J.S. Bach,Partita I: BWV 1002: vii. Tempo di Borea,9
J.S. Bach,Partita I: BWV 1002: viii. Double (Tempo di Borea),12
J.S. Bach,Partita II: BWV 1004: i. Allemande,12
J.S. Bach,Partita II: BWV 1004: ii. Corrente,11
J.S. Bach,Partita II: BWV 1004: iii. Sarabanda,11
J.S. Bach,Partita II: BWV 1004: iv. Giga,15
J.S. Bach,Partita III: BWV 1006: ii. Loure,11
J.S. Bach,Partita III: BWV 1006: iv. Menuet I and II,11
J.S. Bach,Partita III: BWV 1006: v. Bourree,12
J.S. Bach,Partita III: BWV 1006: vi. Gigue,14
J.S. Bach,"Partita in A Minor, BWV 1013: ii.  Corrente",10
J.S. Bach,"Partita No. 1, BWV 825: ii. Allemande",12
J.S. Bach,"Partita No. 1, BWV 825: iii. Corrente",14
J.S. Bach,"Partita No. 1, BWV 825: iv.  Sarabande",11
J.S. Bach,"Partita No. 1, BWV 825: v.  Minuet I and II",8
J.S. Bach,"Partita No. 1, BWV 825: vi.  Giga",15
J.S. Bach,"Partita, BWV 1002: v. Sarabande",7
J.S. Bach,"Passacaille “Les lamentations de ses amis”, extrait du Caprice sur le depart d'un frère bien-aime",10
Modest Mussorgsky,Pictures at an Exhibition: I. Gnomus,20
Modest Mussorgsky,Pictures at an Exhibition: II. Il vecchio castello,17
Modest Mussorgsky,Pictures at an Exhibition: III. Tuileries,13
Modest Mussorgsky,Pictures at an Exhibition: IV. Bydlo,16
Modest Mussorgsky,Pictures at an Exhibition: IX.  The Hut of Baba-Yaga,18
Modest Mussorgsky,Pictures at an Exhibition: Promenade (Pg. 11),18
Modest Mussorgsky,Pictures at an Exhibition: Promenade (Pg. 15),12
Modest Mussorgsky,Pictures at an Exhibition: Promenade (Pg. 20),15
Modest Mussorgsky,Pictures at an Exhibition: Promenade (Pg. 6),15
Modest Mussorgsky,Pictures at an Exhibition: V. Ballet of the Little Chickens,16
Modest Mussorgsky,Pictures at an Exhibition: VI. Samuel Goldenberg und Schmuyle,13
Modest Mussorgsky,Pictures at an Exhibition: VII. A Market Place in Limoges,15
Modest Mussorgsky,Pictures at an Exhibition: VIII. Catacombae - Sepulcrum romanum,13
Modest Mussorgsky,Pictures at an Exhibition: VIII. Cum mortuis in lingua mortua,14
Modest Mussorgsky,Pictures at an Exhibition: X.  The Bohatyr Gate of Kiev,15
J.S. Bach,Prelude No. 6 (Well-Tempered Clavier book 1),14
J.S. Bach,Prelude No. 9 (Well-Tempered Clavier book 1),15
J.S. Bach,"Prelude No. I (Well-Tempered Clavier, book 1)",11
J.S. Bach,Prelude; BWV 999,7
J.S. Bach,Prelude; BWV 999 (Pg. 12),7
Niccolo Paganini,Romance,10
Fernando Sor,Rondo,8
Fernando Sor,"Rondo from The Grand Sonata, Op. 22",9
Fernando Sor,"Rondo, Op. 25",8
Fernando Sor,Sarabande (from Seventeenth-Century Suite),2
J.S. Bach,"Sarabande, BWV 1002",7
J.S. Bach,"Sonata I, BWV 1001: iv. Presto",14
J.S. Bach,"Sonata III, BWV 1005: iv. Allegro assai",15
Fernando Sor,Sonata in C Major,10
J.S. Bach,"Sonata in E minor, BWV 1023 - i.",14
Fernando Sor,"Sonata No. 3 in C, Op. 22: i. Allegro",15
Fernando Sor,"Sonata No. 3 in C, Op. 22: ii. Adagio",14
Fernando Sor,"Sonata No. 3 in C, Op. 22: iii. Minuet and Trio",7
Fernando Sor,"Sonata No. 3 in C, Op. 22: iv. Rondo",9
Fernando Sor,"Sonata No. 4 in C, Second Grand Sonata, Op. 25: i. Andante largo",16
Fernando Sor,"Sonata No. 4 in C, Second Grand Sonata, Op. 25: ii. Allegro non troppo",13
Fernando Sor,"Sonata No. 4 in C, Second Grand Sonata, Op. 25: iii. Theme with Variations",14
Fernando Sor,"Sonata No. 4 in C, Second Grand Sonata, Op. 25: iv. Minuet and Trio",7
Niccolo Paganini,Sonatina No. 5: I,7
Fernando Sor,"Studio in Si Minore, Op. 35 no. 22",4
Fernando Sor,Study (Pg. 163),7
Fernando Sor,Study (Pg. 172),2
Fernando Sor,Study (Pg. 173),3
Fernando Sor,"Study in A, Op. 44 no. 20",5
Fernando Sor,"Study in E Minor, Op. 35 no. 24",6
Fernando Sor,"Study in E, Op. 35 no. 8",4
Fernando Sor,"Study in E, Op. 44 no. 3",7
Fernando Sor,Study No. 1,6
Fernando Sor,Study No. 2,3
Fernando Sor,Study No. 5,4
Fernando Sor,Study No. 6,4
Fernando Sor,Study No. 6,3
Fernando Sor,Study No. 8,6
Fernando Sor,Study No. 9,7
Fernando Sor,"Study, 31 no. 17",3
Fernando Sor,"Study, Op. 29 no. 13",7
Fernando Sor,"Study, Op. 29 no. 17",9
Fernando Sor,"Study, Op. 29 no. 19",8
Fernando Sor,"Study, Op. 29 no. 23",9
Fernando Sor,"Study, Op. 31 no. 10",8
Fernando Sor,"Study, Op. 31 no. 11",2
Fernando Sor,"Study, Op. 31 no. 14",3
Fernando Sor,"Study, Op. 31 no. 16",9
Fernando Sor,"Study, Op. 31 no. 16 (from 24 progressive studies)",9
Fernando Sor,"Study, Op. 31 no. 19",7
Fernando Sor,"Study, Op. 31 no. 2",2
Fernando Sor,"Study, Op. 31 no. 20",7
Fernando Sor,"Study, Op. 31 no. 21",6
Fernando Sor,"Study, Op. 31 no. 21",6
Fernando Sor,"Study, Op. 31 no. 23",6
Fernando Sor,"Study, Op. 31 no. 24",9
Fernando Sor,"Study, Op. 31 no. 4",5
Fernando Sor,"Study, Op. 31 no. 5",3
Fernando Sor,"Study, Op. 31 no. 7",5
Fernando Sor,"Study, Op. 31 no. 8",6
Fernando Sor,"Study, Op. 35 no. 10",2
Fernando Sor,"Study, Op. 35 no. 11",7
Fernando Sor,"Study, Op. 35 no. 12",7
Fernando Sor,"Study, Op. 35 no. 13",3
Fernando Sor,"Study, Op. 35 no. 14",2
Fernando Sor,"Study, Op. 35 no. 15",7
Fernando Sor,"Study, Op. 35 no. 16",7
Fernando Sor,"Study, Op. 35 no. 18",4
Fernando Sor,"Study, Op. 35 no. 19",8
Fernando Sor,"Study, Op. 35 no. 20",10
Fernando Sor,"Study, Op. 35 no. 21",6
Fernando Sor,"Study, Op. 35 no. 23",12
Fernando Sor,"Study, Op. 35 no. 3",3
Fernando Sor,"Study, Op. 35 no. 4",2
Fernando Sor,"Study, Op. 35 no. 8",4
Fernando Sor,"Study, Op. 35 no. 9",5
Fernando Sor,"Study, Op. 6 no. 1",5
Fernando Sor,"Study, Op. 6 no. 1",5
Fernando Sor,"Study, Op. 6 no. 12",7
Fernando Sor,"Study, Op. 6 no. 2",4
Fernando Sor,"Study, Op. 6 no. 3",7
Fernando Sor,"Study, Op. 6 no. 6",8
Fernando Sor,"Study, Op. 6 no. 9",6
Fernando Sor,"Study, Op. 60 no. 12",4
Fernando Sor,"Study, Op. 60 no. 16",6
Fernando Sor,"Study, Op. 60 no. 20",3
Fernando Sor,"Study, Op. 60 no. 21",8
Fernando Sor,"Study, Op. 60 no. 22",7
Fernando Sor,"Study, Op. 60 no. 24",5
Fernando Sor,"Study, Op. 60 no. 4",1
Fernando Sor,"Study, Op. 61 no. 22",7
J.S. Bach,"Suite 1 for Cello, BWV 1007: i. Prelude",8
J.S. Bach,"Suite 1 for Cello, BWV 1007: ii.  Allemande",7
J.S. Bach,"Suite 1 for Cello, BWV 1007: iii.  Courante",8
J.S. Bach,"Suite 1 for Cello, BWV 1007: iv.  Sarabande",7
J.S. Bach,"Suite 1 for Cello, BWV 1007: v. Minuets I and II",6
J.S. Bach,"Suite 1 for Cello, BWV 1007: vi. Gigue",8
J.S. Bach,"Suite 2 for Cello, BWV 1008: i. Prelude",8
J.S. Bach,"Suite 2 for Cello, BWV 1008: ii. Allemande",6
J.S. Bach,"Suite 2 for Cello, BWV 1008: iii.  Courante",8
J.S. Bach,"Suite 2 for Cello, BWV 1008: iv. Sarabande",7
J.S. Bach,"Suite 2 for Cello, BWV 1008: v.  Menuet I and II",6
J.S. Bach,"Suite 2 for Cello, BWV 1008: vi. Gigue",6
J.S. Bach,"Suite 3 for Cello, BWV 1009: i. Prelude",9
J.S. Bach,"Suite 3 for Cello, BWV 1009: ii. Allemande",9
J.S. Bach,"Suite 3 for Cello, BWV 1009: iii. Courante",8
J.S. Bach,"Suite 3 for Cello, BWV 1009: iv. Sarabande",9
J.S. Bach,"Suite 3 for Cello, BWV 1009: v. Bouree I & II",8
J.S. Bach,"Suite 3 for Cello, BWV 1009: vi. Gigue",8
J.S. Bach,"Suite 4 for Cello, BWV 1010: i. Prelude",9
J.S. Bach,"Suite 4 for Cello, BWV 1010: ii. Allemande",7
J.S. Bach,"Suite 4 for Cello, BWV 1010: iii.  Courante",6
J.S. Bach,"Suite 4 for Cello, BWV 1010: iv. Sarabande",8
J.S. Bach,"Suite 4 for Cello, BWV 1010: v.  Bouree I and II",7
J.S. Bach,"Suite 4 for Cello, BWV 1010: vi.  Gigue",8
J.S. Bach,"Suite 5 for Cello, BWV 1011: i. Prelude",11
J.S. Bach,"Suite 5 for Cello, BWV 1011: v(a).  Gavotte I",8
J.S. Bach,"Suite 6 for Cello, BWV 1012: i . Prelude",9
J.S. Bach,"Suite 6 for Cello, BWV 1012: ii. Allemande",10
J.S. Bach,"Suite 6 for Cello, BWV 1012: iii.  Courante",7
J.S. Bach,"Suite 6 for Cello, BWV 1012: iv.  Sarabande",6
J.S. Bach,"Suite for Lute, BWV 996: Allemande",9
J.S. Bach,Suite I: i. Passagio-Presto; BWV 996,14
J.S. Bach,Suite I: ii. Allemande; BWV 996,9
J.S. Bach,Suite I: iv. Sarabande; BWV 996,11
J.S. Bach,Suite I: v. Bouree; BWV 996,7
J.S. Bach,Suite I: vi. Gigue; BWV 996,18
J.S. Bach,"Suite IV, BWV 1006a: iii. Gavotte en rondeau",14
J.S. Bach,"Suite IV, BWV 1006a: iv.  Menuet I and II",9
J.S. Bach,"Suite IV, BWV 1006a: v. Bourree",13
J.S. Bach,"Suite IV, BWV 1006a: vi.  Gigue",14
J.S. Bach,"Suite, BWV 1006a:  i. Prelude",16
J.S. Bach,"Suite, BWV 1006a:  ii.  Loure",12
J.S. Bach,"Suite, BWV 1006a:  iii.  Gavotte en Rondeau",12
J.S. Bach,"Suite, BWV 1006a:  v. Bourree",12
J.S. Bach,"Suite, BWV 1006a:  vi. Gigue",14
J.S. Bach,"Suite, BWV 822: Minuet",3
J.S. Bach,"Suite, BWV 995: i. Prelude",14
J.S. Bach,"Suite, BWV 995: ii. Allemande",11
J.S. Bach,"Suite, BWV 995: iii. Courante",12
J.S. Bach,"Suite, BWV 995: iv. Sarabande",8
J.S. Bach,"Suite, BWV 995: v(a). Gavotte I",11
J.S. Bach,"Suite, BWV 995: v(b). Gavotte II en Rondo",10
J.S. Bach,"Suite, BWV 995: vi. Gigue",13
J.S. Bach,"Suite, BWV 996: i. Praeludio",13
J.S. Bach,"Suite, BWV 996: ii.  Allemande",9
J.S. Bach,"Suite, BWV 996: iii. Courante",12
J.S. Bach,"Suite, BWV 996: iv. Sarabande",10
J.S. Bach,"Suite, BWV 996: v. Bouree",6
J.S. Bach,"Suite, BWV 996: vi. Gigue",18
J.S. Bach,"Suite, BWV 997: i. Praeludio",11
J.S. Bach,"Suite, BWV 997: ii. Fuga",15
J.S. Bach,"Suite, BWV 997: iv. Gigue",8
Fernando Sor,Tempo di Minuetto; Op. 2 no. 1,3
Fernando Sor,Tempo di Minuetto; Op. 2 no. 4,4
Modest Mussorgsky,The Old Castle from 'Pictures at an Exhibition',8
Fernando Sor,Theme and Variation No. 1 (from Theme Varie),7
Fernando Sor,Valse,8
Fernando Sor,Variation No. 2 (from Les Folies D'Espagne,5
Fernando Sor,"Variations on La Folia and Minuet, Op. 15",9
Fernando Sor,"Variations on la Folia and Minuet, Op. 15",9
Fernando Sor,Waltz (from Six Divertimentos); Op. 8 no. 2,4
Fernando Sor,"Waltz, Op. 8 no. 2",5
