Target,Candidate,Source,Reason,Path
"Fernando Sor - Allegretto in E Minor, Op. 47 no. 4","S/Sor, Fernando/Sor, Fernando - Estudio No. 3.gp4.tokens.txt",DadaGP,Num:{'4'},"S/Sor, Fernando/Sor, Fernando - Estudio No. 3.gp4.tokens.txt"
"Fernando Sor - Allegretto in E Minor, Op. 47 no. 4","S/Sor, Fernando/Sor, Fernando - Etude No 9, Opus 31.gp4.tokens.txt",DadaGP,Num:{'4'},"S/Sor, Fernando/Sor, Fernando - Etude No 9, Opus 31.gp4.tokens.txt"
"Fernando Sor - Allegretto in E Minor, Op. 47 no. 4","S/Sor, Fernando/Sor, Fernando - Etude No. 13.gp4.tokens.txt",DadaGP,Num:{'4'},"S/Sor, Fernando/Sor, Fernando - Etude No. 13.gp4.tokens.txt"
"Fernando Sor - Allegretto in E Minor, Op. 47 no. 4","S/Sor, Fernando/Sor, Fernando - Etude No. 9 Opus 35.gp4.tokens.txt",DadaGP,Num:{'4'},"S/Sor, Fernando/Sor, Fernando - Etude No. 9 Opus 35.gp4.tokens.txt"
"Fernando Sor - Allegretto in E Minor, Op. 47 no. 4","S/Sor, Fernando/Sor, Fernando - Op. 31 - No 1 (Study In C Major).gp4.tokens.txt",DadaGP,Num:{'4'},"S/Sor, Fernando/Sor, Fernando - Op. 31 - No 1 (Study In C Major).gp4.tokens.txt"
"Fernando Sor - Allegretto in E Minor, Op. 47 no. 4","S/Sor, Fernando/Sor, Fernando - Op. 44 - No 22 (study In A Minor).gp4.tokens.txt",DadaGP,Num:{'4'},"S/Sor, Fernando/Sor, Fernando - Op. 44 - No 22 (study In A Minor).gp4.tokens.txt"
"Fernando Sor - Allegretto in E Minor, Op. 47 no. 4","S/Sor, Fernando/Sor, Fernando - Op. 60 - No 1 (study In C Major).gp4.tokens.txt",DadaGP,Num:{'4'},"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 1 (study In C Major).gp4.tokens.txt"
"Fernando Sor - Allegretto in E Minor, Op. 47 no. 4","S/Sor, Fernando/Sor, Fernando - Op. 60 - No 2 (study In C Major).gp4.tokens.txt",DadaGP,Num:{'4'},"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 2 (study In C Major).gp4.tokens.txt"
"Fernando Sor - Allegretto in E Minor, Op. 47 no. 4","S/Sor, Fernando/Sor, Fernando - Op. 60 - No 5 (study In A Minor).gp4.tokens.txt",DadaGP,Num:{'4'},"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 5 (study In A Minor).gp4.tokens.txt"
"Fernando Sor - Allegretto in E Minor, Op. 47 no. 4","S/Sor, Fernando/Sor, Fernando - Op. 60 - No 6 (study In A Minor).gp4.tokens.txt",DadaGP,Num:{'4'},"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 6 (study In A Minor).gp4.tokens.txt"
"Fernando Sor - Allegretto in E Minor, Op. 47 no. 4","S/Sor, Fernando/Sor, Fernando - Sonate In C (Op.15B).gp4.tokens.txt",DadaGP,Num:{'4'},"S/Sor, Fernando/Sor, Fernando - Sonate In C (Op.15B).gp4.tokens.txt"
"Fernando Sor - Allegretto in E Minor, Op. 47 no. 4","S/Sor, Fernando/Sor, Fernando - Study In D Minor (poco Allegretto).gp4.tokens.txt",DadaGP,Num:{'4'},"S/Sor, Fernando/Sor, Fernando - Study In D Minor (poco Allegretto).gp4.tokens.txt"
"Fernando Sor - Allegretto in E Minor, Op. 47 no. 4","S/Sor, Fernando/Sor, Fernando - Study No. 16.gp4.tokens.txt",DadaGP,Num:{'4'},"S/Sor, Fernando/Sor, Fernando - Study No. 16.gp4.tokens.txt"
"Fernando Sor - Allegretto in E Minor, Op. 47 no. 4","S/Sor, Fernando/Sor, Fernando - Study No. 19.gp4.tokens.txt",DadaGP,Num:{'4'},"S/Sor, Fernando/Sor, Fernando - Study No. 19.gp4.tokens.txt"
"Fernando Sor - Allegretto in E Minor, Op. 47 no. 4","S/Sor, Fernando/Sor, Fernando - Variations in Tremolo, From Op.21.gp4.tokens.txt",DadaGP,Num:{'4'},"S/Sor, Fernando/Sor, Fernando - Variations in Tremolo, From Op.21.gp4.tokens.txt"
"Fernando Sor - Allegretto, Op. 35 no. 8","S/Sor, Fernando/Sor, Fernando - Estudio 3 (Op. 6, No. 2).gp4.tokens.txt",DadaGP,Words:2/5,"S/Sor, Fernando/Sor, Fernando - Estudio 3 (Op. 6, No. 2).gp4.tokens.txt"
"Fernando Sor - Allegretto, Op. 35 no. 8","S/Sor, Fernando/Sor, Fernando - Etude No. 9 Opus 35.gp4.tokens.txt",DadaGP,Num:{'35'},"S/Sor, Fernando/Sor, Fernando - Etude No. 9 Opus 35.gp4.tokens.txt"
"Fernando Sor - Allegretto, Op. 35 no. 8","S/Sor, Fernando/Sor, Fernando - Op. 31 - No 1 (Study In C Major).gp4.tokens.txt",DadaGP,Words:2/5,"S/Sor, Fernando/Sor, Fernando - Op. 31 - No 1 (Study In C Major).gp4.tokens.txt"
"Fernando Sor - Allegretto, Op. 35 no. 8","S/Sor, Fernando/Sor, Fernando - Op. 44 - No 22 (study In A Minor).gp4.tokens.txt",DadaGP,Words:2/5,"S/Sor, Fernando/Sor, Fernando - Op. 44 - No 22 (study In A Minor).gp4.tokens.txt"
"Fernando Sor - Allegretto, Op. 35 no. 8","S/Sor, Fernando/Sor, Fernando - Op. 60 - No 1 (study In C Major).gp4.tokens.txt",DadaGP,Words:2/5,"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 1 (study In C Major).gp4.tokens.txt"
"Fernando Sor - Allegretto, Op. 35 no. 8","S/Sor, Fernando/Sor, Fernando - Op. 60 - No 2 (study In C Major).gp4.tokens.txt",DadaGP,Words:2/5,"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 2 (study In C Major).gp4.tokens.txt"
"Fernando Sor - Allegretto, Op. 35 no. 8","S/Sor, Fernando/Sor, Fernando - Op. 60 - No 5 (study In A Minor).gp4.tokens.txt",DadaGP,Words:2/5,"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 5 (study In A Minor).gp4.tokens.txt"
"Fernando Sor - Allegretto, Op. 35 no. 8","S/Sor, Fernando/Sor, Fernando - Op. 60 - No 6 (study In A Minor).gp4.tokens.txt",DadaGP,Words:2/5,"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 6 (study In A Minor).gp4.tokens.txt"
"Mauro Giuliani - Allegretto, Op. 51 no. 15","G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No. 1.gp3.tokens.txt",DadaGP,Words:2/5,"G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No. 1.gp3.tokens.txt"
"Mauro Giuliani - Allegretto, Op. 51 no. 15","G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No.3.gp3.tokens.txt",DadaGP,Words:2/5,"G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No.3.gp3.tokens.txt"
Mauro Giuliani - Allegro,"G/Giuliani, Mauro/Giuliani, Mauro - Allegro (Solo).gp4.tokens.txt",DadaGP,Words:1/1,"G/Giuliani, Mauro/Giuliani, Mauro - Allegro (Solo).gp4.tokens.txt"
Mauro Giuliani - Allegro,"G/Giuliani, Mauro/Giuliani, Mauro - Allegro.gp3.tokens.txt",DadaGP,Words:1/1,"G/Giuliani, Mauro/Giuliani, Mauro - Allegro.gp3.tokens.txt"
"Mauro Giuliani - Allegro in D Major, Op. 50 no. 26","G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No. 1.gp3.tokens.txt",DadaGP,Num:{'50'},"G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No. 1.gp3.tokens.txt"
"Mauro Giuliani - Allegro in D Major, Op. 50 no. 26","G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No.3.gp3.tokens.txt",DadaGP,Num:{'50'},"G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No.3.gp3.tokens.txt"
Agustin Barrios Mandore - Allegro Sinfonico,"B/Barrios, Agustin/Barrios, Agustin - La Catedral (Allegro).gp3.tokens.txt",DadaGP,Words:1/2,"B/Barrios, Agustin/Barrios, Agustin - La Catedral (Allegro).gp3.tokens.txt"
Agustin Barrios Mandore - Allegro Sinfonico,"B/Barrios, Agustin/Barrios, Agustin - La Catedral - Allegro Solemne.gp3.tokens.txt",DadaGP,Words:1/2,"B/Barrios, Agustin/Barrios, Agustin - La Catedral - Allegro Solemne.gp3.tokens.txt"
"Mauro Giuliani - Allegro, Op. 40 no. 6","G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No. 1.gp3.tokens.txt",DadaGP,Words:2/5,"G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No. 1.gp3.tokens.txt"
"Mauro Giuliani - Allegro, Op. 40 no. 6","G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No.3.gp3.tokens.txt",DadaGP,Words:2/5,"G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No.3.gp3.tokens.txt"
"Mauro Giuliani - Allegro, Op. 50 no. 13","G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No. 1.gp3.tokens.txt",DadaGP,Num:{'50'},"G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No. 1.gp3.tokens.txt"
"Mauro Giuliani - Allegro, Op. 50 no. 13","G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No.3.gp3.tokens.txt",DadaGP,Num:{'50'},"G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No.3.gp3.tokens.txt"
Fernando Sor - Andante in B Minor,"S/Sor, Fernando/Sor, Fernando - Op. 44 - No 22 (study In A Minor).gp4.tokens.txt",DadaGP,Words:2/4,"S/Sor, Fernando/Sor, Fernando - Op. 44 - No 22 (study In A Minor).gp4.tokens.txt"
Fernando Sor - Andante in B Minor,"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 5 (study In A Minor).gp4.tokens.txt",DadaGP,Words:2/4,"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 5 (study In A Minor).gp4.tokens.txt"
Fernando Sor - Andante in B Minor,"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 6 (study In A Minor).gp4.tokens.txt",DadaGP,Words:2/4,"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 6 (study In A Minor).gp4.tokens.txt"
Fernando Sor - Andante in B Minor,"S/Sor, Fernando/Sor, Fernando - Study In D Minor (poco Allegretto).gp4.tokens.txt",DadaGP,Words:2/4,"S/Sor, Fernando/Sor, Fernando - Study In D Minor (poco Allegretto).gp4.tokens.txt"
Fernando Sor - Andante in C,"S/Sor, Fernando/Sor, Fernando - Op. 31 - No 1 (Study In C Major).gp4.tokens.txt",DadaGP,Words:2/3,"S/Sor, Fernando/Sor, Fernando - Op. 31 - No 1 (Study In C Major).gp4.tokens.txt"
Fernando Sor - Andante in C,"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 1 (study In C Major).gp4.tokens.txt",DadaGP,Words:2/3,"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 1 (study In C Major).gp4.tokens.txt"
Fernando Sor - Andante in C,"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 2 (study In C Major).gp4.tokens.txt",DadaGP,Words:2/3,"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 2 (study In C Major).gp4.tokens.txt"
Fernando Sor - Andante in C,"S/Sor, Fernando/Sor, Fernando - Sonate In C (Op.15B).gp4.tokens.txt",DadaGP,Words:2/3,"S/Sor, Fernando/Sor, Fernando - Sonate In C (Op.15B).gp4.tokens.txt"
Fernando Sor - Andante in C,"S/Sor, Fernando/Sor, Fernando - Study in C.gp3.tokens.txt",DadaGP,Words:2/3,"S/Sor, Fernando/Sor, Fernando - Study in C.gp3.tokens.txt"
Fernando Sor - Andantino,"S/Sor, Fernando/Sor, Fernando - Andantino (op.60).gp3.tokens.txt",DadaGP,Words:1/1,"S/Sor, Fernando/Sor, Fernando - Andantino (op.60).gp3.tokens.txt"
Fernando Sor - Andantino,"S/Sor, Fernando/Sor, Fernando - andantino.gp3.tokens.txt",DadaGP,Words:1/1,"S/Sor, Fernando/Sor, Fernando - andantino.gp3.tokens.txt"
"Matteo Carcassi - Andantino Grazioso, Op. 5 no. 8","C/Carcassi, Mateo/Carcassi, Mateo - Andante Grazioso Opus 5 No. 8.gp3.tokens.txt",DadaGP,"Num:{'5', '8'}","C/Carcassi, Mateo/Carcassi, Mateo - Andante Grazioso Opus 5 No. 8.gp3.tokens.txt"
"Matteo Carcassi - Andantino Grazioso, Op. 5 no. 8","C/Carcassi, Mateo/Carcassi, Mateo - Andante nss 8.gp3.tokens.txt",DadaGP,Num:{'8'},"C/Carcassi, Mateo/Carcassi, Mateo - Andante nss 8.gp3.tokens.txt"
Fernando Sor - Andantino in E Minor,"S/Sor, Fernando/Sor, Fernando - Op. 44 - No 22 (study In A Minor).gp4.tokens.txt",DadaGP,Words:2/4,"S/Sor, Fernando/Sor, Fernando - Op. 44 - No 22 (study In A Minor).gp4.tokens.txt"
Fernando Sor - Andantino in E Minor,"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 5 (study In A Minor).gp4.tokens.txt",DadaGP,Words:2/4,"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 5 (study In A Minor).gp4.tokens.txt"
Fernando Sor - Andantino in E Minor,"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 6 (study In A Minor).gp4.tokens.txt",DadaGP,Words:2/4,"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 6 (study In A Minor).gp4.tokens.txt"
Fernando Sor - Andantino in E Minor,"S/Sor, Fernando/Sor, Fernando - Study In D Minor (poco Allegretto).gp4.tokens.txt",DadaGP,Words:2/4,"S/Sor, Fernando/Sor, Fernando - Study In D Minor (poco Allegretto).gp4.tokens.txt"
"Mauro Giuliani - Andantino mosso, Op. 1, part 4 no. 3","G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No. 1.gp3.tokens.txt",DadaGP,"Num:{'3', '1'}","G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No. 1.gp3.tokens.txt"
"Mauro Giuliani - Andantino mosso, Op. 1, part 4 no. 3","G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No.3.gp3.tokens.txt",DadaGP,Num:{'3'},"G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No.3.gp3.tokens.txt"
"Mauro Giuliani - Andantino mosso, Op. 1, part 4 no. 3","G/Giuliani, Mauro/Giuliani, Mauro - Study No. 3.gp4.tokens.txt",DadaGP,"Num:{'4', '3'}","G/Giuliani, Mauro/Giuliani, Mauro - Study No. 3.gp4.tokens.txt"
"Fernando Sor - Andantino, Op. 44 no. 5","S/Sor, Fernando/Sor, Fernando - Andante (Op.44).gp3.tokens.txt",DadaGP,Num:{'44'},"S/Sor, Fernando/Sor, Fernando - Andante (Op.44).gp3.tokens.txt"
"Fernando Sor - Andantino, Op. 44 no. 5","S/Sor, Fernando/Sor, Fernando - Andantino (op.60).gp3.tokens.txt",DadaGP,Words:2/5,"S/Sor, Fernando/Sor, Fernando - Andantino (op.60).gp3.tokens.txt"
"Fernando Sor - Andantino, Op. 44 no. 5","S/Sor, Fernando/Sor, Fernando - Estudio 3 (Op. 6, No. 2).gp4.tokens.txt",DadaGP,Words:2/5,"S/Sor, Fernando/Sor, Fernando - Estudio 3 (Op. 6, No. 2).gp4.tokens.txt"
"Fernando Sor - Andantino, Op. 44 no. 5","S/Sor, Fernando/Sor, Fernando - Op. 31 - No 1 (Study In C Major).gp4.tokens.txt",DadaGP,Words:2/5,"S/Sor, Fernando/Sor, Fernando - Op. 31 - No 1 (Study In C Major).gp4.tokens.txt"
"Fernando Sor - Andantino, Op. 44 no. 5","S/Sor, Fernando/Sor, Fernando - Op. 44 - No 22 (study In A Minor).gp4.tokens.txt",DadaGP,Num:{'44'},"S/Sor, Fernando/Sor, Fernando - Op. 44 - No 22 (study In A Minor).gp4.tokens.txt"
"Fernando Sor - Andantino, Op. 44 no. 5","S/Sor, Fernando/Sor, Fernando - Op. 60 - No 1 (study In C Major).gp4.tokens.txt",DadaGP,Words:2/5,"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 1 (study In C Major).gp4.tokens.txt"
"Fernando Sor - Andantino, Op. 44 no. 5","S/Sor, Fernando/Sor, Fernando - Op. 60 - No 2 (study In C Major).gp4.tokens.txt",DadaGP,Words:2/5,"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 2 (study In C Major).gp4.tokens.txt"
"Fernando Sor - Andantino, Op. 44 no. 5","S/Sor, Fernando/Sor, Fernando - Op. 60 - No 5 (study In A Minor).gp4.tokens.txt",DadaGP,Num:{'5'},"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 5 (study In A Minor).gp4.tokens.txt"
"Fernando Sor - Andantino, Op. 44 no. 5","S/Sor, Fernando/Sor, Fernando - Op. 60 - No 6 (study In A Minor).gp4.tokens.txt",DadaGP,Words:2/5,"S/Sor, Fernando/Sor, Fernando - Op. 60 - No 6 (study In A Minor).gp4.tokens.txt"
Agustin Barrios Mandore - Armonias de America,"B/Barrios, Agustin/Barrios, Agustin - Armonias De America.gp4.tokens.txt",DadaGP,Words:3/3,"B/Barrios, Agustin/Barrios, Agustin - Armonias De America.gp4.tokens.txt"
"J.S. Bach - Bouree, BWV 996","B/Bach, Johann Sebastian/Bach, Johann Sebastian - Bwv 996 N-1 Suite PrCdule Presto.gp4.tokens.txt",DadaGP,Num:{'996'},"B/Bach, Johann Sebastian/Bach, Johann Sebastian - Bwv 996 N-1 Suite PrCdule Presto.gp4.tokens.txt"
"J.S. Bach - Bourree, BWV 996","B/Bach, Johann Sebastian/Bach, Johann Sebastian - Bwv 996 N-1 Suite PrCdule Presto.gp4.tokens.txt",DadaGP,Num:{'996'},"B/Bach, Johann Sebastian/Bach, Johann Sebastian - Bwv 996 N-1 Suite PrCdule Presto.gp4.tokens.txt"
"Mauro Giuliani - Cadenzas, Caprices, Rondos & Preludes, Op. 100: 1. Cadenze","G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No. 1.gp3.tokens.txt",DadaGP,Num:{'1'},"G/Giuliani, Mauro/Giuliani, Mauro - Op. 50 No. 1.gp3.tokens.txt"
"Mauro Giuliani - Cadenzas, Caprices, Rondos & Preludes, Op. 100: 1. Cadenze","G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt",DadaGP,Num:{'100'},"G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt"
"Mauro Giuliani - Cadenzas, Caprices, Rondos & Preludes, Op. 100: 10. Capricie","G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt",DadaGP,Num:{'100'},"G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt"
"Mauro Giuliani - Cadenzas, Caprices, Rondos & Preludes, Op. 100: 11. Capricie","G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt",DadaGP,"Num:{'100', '11'}","G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt"
"Mauro Giuliani - Cadenzas, Caprices, Rondos & Preludes, Op. 100: 12. Capricie","G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt",DadaGP,Num:{'100'},"G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt"
"Mauro Giuliani - Cadenzas, Caprices, Rondos & Preludes, Op. 100: 13. Capricie","G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt",DadaGP,Num:{'100'},"G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt"
"Mauro Giuliani - Cadenzas, Caprices, Rondos & Preludes, Op. 100: 14. Capricie","G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt",DadaGP,Num:{'100'},"G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt"
"Mauro Giuliani - Cadenzas, Caprices, Rondos & Preludes, Op. 100: 15. Rondo","G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt",DadaGP,Num:{'100'},"G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt"
"Mauro Giuliani - Cadenzas, Caprices, Rondos & Preludes, Op. 100: 16. Rondo","G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt",DadaGP,Num:{'100'},"G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt"
"Mauro Giuliani - Cadenzas, Caprices, Rondos & Preludes, Op. 100: 17. Preludi","G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt",DadaGP,Num:{'100'},"G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt"
"Mauro Giuliani - Cadenzas, Caprices, Rondos & Preludes, Op. 100: 18. Preludi","G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt",DadaGP,Num:{'100'},"G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt"
"Mauro Giuliani - Cadenzas, Caprices, Rondos & Preludes, Op. 100: 19. Preludi","G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt",DadaGP,Num:{'100'},"G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt"
"Mauro Giuliani - Cadenzas, Caprices, Rondos & Preludes, Op. 100: 2. Cadenze","G/Giuliani, Mauro/Giuliani, Mauro - Etude (2).gp4.tokens.txt",DadaGP,Num:{'2'},"G/Giuliani, Mauro/Giuliani, Mauro - Etude (2).gp4.tokens.txt"
"Mauro Giuliani - Cadenzas, Caprices, Rondos & Preludes, Op. 100: 2. Cadenze","G/Giuliani, Mauro/Giuliani, Mauro - Maestoso (2).gp4.tokens.txt",DadaGP,Num:{'2'},"G/Giuliani, Mauro/Giuliani, Mauro - Maestoso (2).gp4.tokens.txt"
"Mauro Giuliani - Cadenzas, Caprices, Rondos & Preludes, Op. 100: 2. Cadenze","G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt",DadaGP,Num:{'100'},"G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt"
"Mauro Giuliani - Cadenzas, Caprices, Rondos & Preludes, Op. 100: 2. Cadenze","G/Giuliani, Mauro/Giuliani, Mauro - allegretto (2).gp3.tokens.txt",DadaGP,Num:{'2'},"G/Giuliani, Mauro/Giuliani, Mauro - allegretto (2).gp3.tokens.txt"
"Mauro Giuliani - Cadenzas, Caprices, Rondos & Preludes, Op. 100: 20. Preludi","G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt",DadaGP,Num:{'100'},"G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt"
"Mauro Giuliani - Cadenzas, Caprices, Rondos & Preludes, Op. 100: 21. Preludi","G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt",DadaGP,Num:{'100'},"G/Giuliani, Mauro/Giuliani, Mauro - Opera 100 N. 11.gp4.tokens.txt"
